geneSymbol	geneName	ProbeID	logFC	P.Value	adj.P.Val
LRIG1	leucine-rich repeats and immunoglobulin-like domains 1	2450367	-0.932923953	3.51E-10	1.85E-07
UBE2G2	ubiquitin-conjugating enzyme E2G 2	2750750	-0.950989541	3.58E-10	1.85E-07
NA	NA	240392	-0.955687162	3.73E-10	1.88E-07
HLTF	helicase-like transcription factor	4480520	-0.89645898	5.73E-10	2.83E-07
SCARNA8	small Cajal body-specific RNA 8	2600403	1.714261754	6.10E-10	2.95E-07
NA	NA	5390095	-1.070491481	6.32E-10	2.99E-07
RPS4X	"ribosomal protein S4, X-linked"	7510482	-0.993459543	6.50E-10	3.01E-07
NA	NA	130706	-0.931079591	7.98E-10	3.62E-07
KIF20B	kinesin family member 20B	5900433	-0.974126702	8.88E-10	3.95E-07
TRAM2	translocation associated membrane protein 2	940670	-0.84300147	9.60E-10	4.19E-07
GPR68	G protein-coupled receptor 68	5270674	0.88440917	9.79E-10	4.19E-07
FAM20C	"family with sequence similarity 20, member C"	4860646	-1.010143107	1.19E-09	4.98E-07
GAL	galanin prepropeptide	60452	-1.054919248	1.22E-09	5.02E-07
IQGAP1	IQ motif containing GTPase activating protein 1	6520646	-1.156417202	1.47E-09	5.93E-07
OSTC	oligosaccharyltransferase complex subunit	4540446	-0.902832998	1.71E-09	6.77E-07
PPPDE1	PPPDE peptidase domain containing 1	3870255	-0.867811016	1.74E-09	6.79E-07
GOT2	"glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"	6980048	-0.843628415	1.85E-09	7.07E-07
CCDC28A	coiled-coil domain containing 28A	2000504	-0.907432984	1.98E-09	7.24E-07
AIDA	"axin interactor, dorsalization associated"	4640445	-0.992511534	2.02E-09	7.24E-07
FST	follistatin	1260068	-0.828909069	2.02E-09	7.24E-07
CDK4	cyclin-dependent kinase 4	7380110	-0.815347141	2.06E-09	7.24E-07
TOMM34	translocase of outer mitochondrial membrane 34	1190445	-0.805345506	2.09E-09	7.24E-07
SERTAD2	SERTA domain containing 2	2070367	-0.817103343	2.11E-09	7.24E-07
DRAM1	DNA-damage regulated autophagy modulator 1	4280482	-0.932563926	2.12E-09	7.24E-07
TPRG1L	tumor protein p63 regulated 1-like	4260722	-0.784155523	2.48E-09	8.34E-07
RNU4-2	"RNA, U4 small nuclear 2"	3850189	1.073442525	2.52E-09	8.37E-07
OSTC	oligosaccharyltransferase complex subunit	3450608	-1.085221046	2.61E-09	8.53E-07
INA	"internexin neuronal intermediate filament protein, alpha"	1230538	-0.790444375	2.73E-09	8.72E-07
SCARNA16	small Cajal body-specific RNA 16	2030646	0.953559042	2.76E-09	8.72E-07
FEN1	flap structure-specific endonuclease 1	3370703	-0.855794715	2.80E-09	8.72E-07
ERLIN1	ER lipid raft associated 1	6110634	-0.848545495	2.82E-09	8.72E-07
MELK	maternal embryonic leucine zipper kinase	160097	-0.826003073	2.95E-09	8.96E-07
OSTCP2	oligosaccharyltransferase complex subunit pseudogene 2	7160324	-1.104814721	2.98E-09	8.96E-07
SLC44A1	"solute carrier family 44, member 1"	4730541	-0.85645989	3.08E-09	9.14E-07
NAP1L5	nucleosome assembly protein 1-like 5	6860400	0.943116219	3.15E-09	9.14E-07
RFC4	"replication factor C (activator 1) 4, 37kDa"	7210435	-0.804793458	3.16E-09	9.14E-07
CDK6	cyclin-dependent kinase 6	670286	-0.881667655	3.58E-09	1.02E-06
HIST2H2BE	"histone cluster 2, H2be"	4230678	0.982876812	3.90E-09	1.10E-06
CDK7	cyclin-dependent kinase 7	5420437	-1.022892423	4.08E-09	1.13E-06
PPP2R4	"protein phosphatase 2A activator, regulatory subunit 4"	6040114	-0.756909248	4.27E-09	1.17E-06
C12orf62	chromosome 12 open reading frame 62	6620360	-0.784771171	4.48E-09	1.21E-06
SLC48A1	"solute carrier family 48 (heme transporter), member 1"	2900139	-0.810148199	4.53E-09	1.21E-06
ANGEL2	angel homolog 2 (Drosophila)	1820441	-0.910884757	4.76E-09	1.26E-06
MCM3	minichromosome maintenance complex component 3	6290494	-0.875187985	5.04E-09	1.32E-06
DRAM2	DNA-damage regulated autophagy modulator 2	1440142	-0.760300413	5.21E-09	1.35E-06
CDCA7	cell division cycle associated 7	2070520	-0.780192627	5.41E-09	1.38E-06
KIF11	kinesin family member 11	1110022	-0.797576562	6.23E-09	1.57E-06
MDFIC	MyoD family inhibitor domain containing	50332	-1.035625139	6.34E-09	1.57E-06
CDC20	cell division cycle 20 homolog (S. cerevisiae)	1500010	-0.907741655	6.37E-09	1.57E-06
PXDN	peroxidasin homolog (Drosophila)	6400397	-0.934288919	6.56E-09	1.60E-06
SEC24C	"SEC24 family, member C (S. cerevisiae)"	4280722	-0.783100601	6.66E-09	1.61E-06
RFC4	"replication factor C (activator 1) 4, 37kDa"	2030315	-0.753679803	6.76E-09	1.62E-06
CCL2	chemokine (C-C motif) ligand 2	1030333	0.930666452	7.12E-09	1.69E-06
BIRC3	baculoviral IAP repeat containing 3	5080021	0.800696962	7.22E-09	1.69E-06
TTF2	"transcription termination factor, RNA polymerase II"	2190220	-0.759030386	7.68E-09	1.78E-06
RPS4X	"ribosomal protein S4, X-linked"	6040563	-0.899897412	8.51E-09	1.95E-06
NA	NA	3290609	-0.817012115	8.99E-09	2.04E-06
CENPB	"centromere protein B, 80kDa"	610056	-0.823702738	9.08E-09	2.04E-06
KCNJ2	"potassium inwardly-rectifying channel, subfamily J, member 2"	60719	-0.783438982	9.31E-09	2.07E-06
NA	NA	3440064	-0.859300026	1.04E-08	2.30E-06
KRT34	keratin 34	3710168	0.799283641	1.13E-08	2.46E-06
SRF	serum response factor (c-fos serum response element-binding transcription factor)	20022	-0.743902546	1.17E-08	2.53E-06
TMEM9B	"TMEM9 domain family, member B"	7550608	-0.801617354	1.20E-08	2.57E-06
NA	NA	3940673	0.75164373	1.23E-08	2.60E-06
NA	NA	5260477	-0.715845153	1.26E-08	2.63E-06
ZBTB20	zinc finger and BTB domain containing 20	3440189	-0.834499166	1.31E-08	2.71E-06
HLTF	helicase-like transcription factor	4250041	-0.737694865	1.39E-08	2.85E-06
C10orf26	chromosome 10 open reading frame 26	150678	-0.741938512	1.40E-08	2.85E-06
RCAN1	regulator of calcineurin 1	2850551	-0.854230236	1.43E-08	2.89E-06
HK2	hexokinase 2	7150661	-0.681695688	1.45E-08	2.90E-06
MELK	maternal embryonic leucine zipper kinase	2340392	-0.723523478	1.46E-08	2.90E-06
HMGB2	high mobility group box 2	7610537	-0.709598629	1.51E-08	2.94E-06
MCM7	minichromosome maintenance complex component 7	1470195	-0.739370009	1.51E-08	2.94E-06
ERRFI1	ERBB receptor feedback inhibitor 1	7100639	0.718077694	1.54E-08	2.95E-06
MCM4	minichromosome maintenance complex component 4	6020170	-0.748556948	1.55E-08	2.95E-06
CDCA5	cell division cycle associated 5	1400673	-0.765999367	1.55E-08	2.95E-06
SKA2	spindle and kinetochore associated complex subunit 2	360743	-0.737692804	1.58E-08	2.97E-06
SLK	STE20-like kinase	670470	-0.796108099	1.64E-08	3.06E-06
GPM6B	glycoprotein M6B	3870202	-0.693471862	1.69E-08	3.12E-06
UBE2C	ubiquitin-conjugating enzyme E2C	4260368	-0.712080396	1.70E-08	3.12E-06
C3orf14	chromosome 3 open reading frame 14	6650079	-0.733845011	1.84E-08	3.36E-06
DEK	DEK oncogene	4480180	-0.782151042	1.91E-08	3.45E-06
CEP55	centrosomal protein 55kDa	7510709	-0.840408122	1.93E-08	3.46E-06
RAB11FIP1	RAB11 family interacting protein 1 (class I)	6130156	-0.727268388	2.03E-08	3.61E-06
VEGFC	vascular endothelial growth factor C	7320039	-0.70973862	2.12E-08	3.75E-06
PPP1R14B	"protein phosphatase 1, regulatory (inhibitor) subunit 14B"	5290097	-0.779822018	2.17E-08	3.79E-06
SRSF3	serine/arginine-rich splicing factor 3	5900561	-0.784157253	2.22E-08	3.83E-06
GGA2	"golgi-associated, gamma adaptin ear containing, ARF binding protein 2"	2190121	-0.73312917	2.22E-08	3.83E-06
PRKAA1	"protein kinase, AMP-activated, alpha 1 catalytic subunit"	6980750	-0.867424473	2.31E-08	3.94E-06
TOP2A	topoisomerase (DNA) II alpha 170kDa	3990619	-0.845237172	2.33E-08	3.94E-06
NA	NA	5550592	-0.804001943	2.34E-08	3.94E-06
NA	NA	7210142	0.678507621	2.45E-08	4.10E-06
GUCY1A2	"guanylate cyclase 1, soluble, alpha 2"	7000626	0.757275949	2.60E-08	4.32E-06
SGCB	"sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)"	1190162	-0.765425391	2.71E-08	4.47E-06
KIF11	kinesin family member 11	4060176	-0.873887403	2.77E-08	4.53E-06
BLMH	bleomycin hydrolase	4880482	-0.846115419	2.79E-08	4.53E-06
FBXO5	F-box protein 5	4010097	-0.715172992	2.93E-08	4.73E-06
NA	NA	6520035	-0.667304182	2.96E-08	4.74E-06
VDAC1	voltage-dependent anion channel 1	4590372	-0.69716064	3.00E-08	4.76E-06
TTPAL	tocopherol (alpha) transfer protein-like	2370504	-0.659784573	3.26E-08	5.15E-06
MAPK6	mitogen-activated protein kinase 6	7160348	0.757484271	3.48E-08	5.45E-06
CDC45	cell division cycle 45 homolog (S. cerevisiae)	2320170	-0.807344208	3.63E-08	5.64E-06
CDT1	chromatin licensing and DNA replication factor 1	2630433	-0.665506372	3.68E-08	5.68E-06
USP1	ubiquitin specific peptidase 1	1170689	-0.688922025	3.79E-08	5.82E-06
FST	follistatin	6020286	-0.769933715	3.90E-08	5.92E-06
PLK4	polo-like kinase 4	3190470	-0.652182792	3.91E-08	5.92E-06
RAD51AP1	RAD51 associated protein 1	4150196	-0.797503108	4.01E-08	6.03E-06
NUMB	numb homolog (Drosophila)	110445	-0.795021357	4.08E-08	6.09E-06
FAM83D	"family with sequence similarity 83, member D"	150543	-0.647716062	4.12E-08	6.10E-06
GNA11	"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"	7650246	-0.732078867	4.35E-08	6.41E-06
NA	NA	5560544	-0.681574952	4.66E-08	6.82E-06
TGFBR2	"transforming growth factor, beta receptor II (70/80kDa)"	6560091	-0.703209677	5.08E-08	7.39E-06
SUMO2	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)	2600066	-1.045635839	5.13E-08	7.41E-06
CCNA2	cyclin A2	2650608	-0.879453901	5.22E-08	7.49E-06
NA	NA	4760154	-0.631669887	5.31E-08	7.57E-06
MORF4L2	mortality factor 4 like 2	6510435	-0.68001653	5.51E-08	7.81E-06
CREB5	cAMP responsive element binding protein 5	6200577	0.631582151	5.62E-08	7.91E-06
FAM105B	"family with sequence similarity 105, member B"	1070253	-0.662420677	5.65E-08	7.91E-06
SCARNA20	small Cajal body-specific RNA 20	1170497	0.691869823	5.79E-08	8.03E-06
SUCLG1	"succinate-CoA ligase, alpha subunit"	4150142	-0.771579911	5.82E-08	8.03E-06
OSTC	oligosaccharyltransferase complex subunit	4610722	-0.879264163	5.92E-08	8.12E-06
NA	NA	460286	-0.7765979	6.12E-08	8.34E-06
ZAK	sterile alpha motif and leucine zipper containing kinase AZK	3360431	-0.753964172	6.17E-08	8.37E-06
VPS25	vacuolar protein sorting 25 homolog (S. cerevisiae)	1090577	0.637028723	6.60E-08	8.87E-06
ARL16	ADP-ribosylation factor-like 16	7050500	-0.623847328	6.63E-08	8.87E-06
GINS2	GINS complex subunit 2 (Psf2 homolog)	6020735	-0.733516939	6.66E-08	8.87E-06
HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	5810440	-0.667540327	6.76E-08	8.95E-06
TMUB2	transmembrane and ubiquitin-like domain containing 2	4280661	-0.64078166	6.95E-08	9.08E-06
POLE2	"polymerase (DNA directed), epsilon 2 (p59 subunit)"	1170326	-0.603603406	6.98E-08	9.08E-06
CDCA3	cell division cycle associated 3	6370474	-0.728936189	6.99E-08	9.08E-06
STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	770619	-0.82407578	7.06E-08	9.12E-06
SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	5420592	-0.700480232	7.09E-08	9.12E-06
LINC00161	long intergenic non-protein coding RNA 161	5670215	0.665491309	7.18E-08	9.17E-06
CASP1	"caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)"	450491	0.642254181	7.40E-08	9.40E-06
TGFBR2	"transforming growth factor, beta receptor II (70/80kDa)"	5490070	-0.674445186	7.51E-08	9.44E-06
TICAM2	toll-like receptor adaptor molecule 2	6550026	-0.669478552	7.52E-08	9.44E-06
UBE2T	ubiquitin-conjugating enzyme E2T (putative)	2480722	-0.821425235	8.02E-08	1.00E-05
SNX5	sorting nexin 5	5270121	-0.626298431	8.47E-08	1.05E-05
C20orf27	chromosome 20 open reading frame 27	2750647	0.626265672	8.63E-08	1.07E-05
TMEM47	transmembrane protein 47	2570730	-0.717530054	8.77E-08	1.08E-05
MCM6	minichromosome maintenance complex component 6	5690274	-0.652167335	9.16E-08	1.12E-05
RACGAP1	Rac GTPase activating protein 1	2190010	-0.650654537	9.38E-08	1.14E-05
C1orf52	chromosome 1 open reading frame 52	990167	0.612383857	9.40E-08	1.14E-05
STARD3NL	STARD3 N-terminal like	5550360	-0.623948241	9.89E-08	1.19E-05
NA	NA	6520538	0.688109674	1.05E-07	1.26E-05
RETSAT	"retinol saturase (all-trans-retinol 13,14-reductase)"	940477	-0.616193961	1.07E-07	1.27E-05
KNTC1	kinetochore associated 1	3190524	-0.639728486	1.07E-07	1.27E-05
KLHDC3	kelch domain containing 3	4250372	0.636994545	1.08E-07	1.27E-05
NA	NA	5860242	0.699386268	1.09E-07	1.28E-05
ZHX3	zinc fingers and homeoboxes 3	3460270	-0.596334775	1.10E-07	1.28E-05
DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)	6960349	0.610672333	1.10E-07	1.28E-05
SH3KBP1	SH3-domain kinase binding protein 1	3450059	-0.599338149	1.13E-07	1.30E-05
YOD1	YOD1 OTU deubiquinating enzyme 1 homolog (S. cerevisiae)	4590020	0.727025969	1.14E-07	1.31E-05
KIF23	kinesin family member 23	4120278	-0.59478156	1.17E-07	1.34E-05
TIMELESS	timeless homolog (Drosophila)	4180050	-0.591205696	1.34E-07	1.52E-05
CCP110	centriolar coiled coil protein 110kDa	5260082	-0.591298924	1.38E-07	1.56E-05
PRMT6	protein arginine methyltransferase 6	7200707	-0.634206717	1.45E-07	1.63E-05
ZCCHC24	"zinc finger, CCHC domain containing 24"	6110195	-0.638758049	1.46E-07	1.64E-05
ATP2A2	"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"	1940053	-0.622411388	1.52E-07	1.69E-05
C20orf108	chromosome 20 open reading frame 108	770561	0.790168537	1.53E-07	1.69E-05
BMP4	bone morphogenetic protein 4	990075	0.787558959	1.59E-07	1.75E-05
OSBPL5	oxysterol binding protein-like 5	2190689	-0.672398059	1.62E-07	1.77E-05
NA	NA	2940452	0.641256416	1.66E-07	1.81E-05
SLC37A4	"solute carrier family 37 (glucose-6-phosphate transporter), member 4"	5130577	-0.589942227	1.67E-07	1.81E-05
CENPE	"centromere protein E, 312kDa"	6100564	-0.599533456	1.70E-07	1.83E-05
NA	NA	5960709	-0.619922017	1.73E-07	1.85E-05
AURKB	aurora kinase B	6770026	-0.592041196	1.73E-07	1.85E-05
ISL1	ISL LIM homeobox 1	4760553	0.577369494	1.79E-07	1.90E-05
MYD88	myeloid differentiation primary response gene (88)	4560576	-0.565871097	1.81E-07	1.92E-05
SCARNA18	small Cajal body-specific RNA 18	2750670	0.790370768	1.85E-07	1.95E-05
NFATC2IP	"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein"	6520201	-0.63356979	1.87E-07	1.96E-05
CSRP2	cysteine and glycine-rich protein 2	1990152	-0.604823806	1.89E-07	1.98E-05
HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	3370487	-0.599532184	1.96E-07	2.03E-05
KIAA1539	KIAA1539	4880392	-0.632584892	1.97E-07	2.04E-05
SLC6A15	"solute carrier family 6 (neutral amino acid transporter), member 15"	290685	-0.662703677	2.02E-07	2.07E-05
TTPAL	tocopherol (alpha) transfer protein-like	1450452	-0.60384143	2.02E-07	2.07E-05
NA	NA	4150689	-0.657198465	2.03E-07	2.07E-05
BARD1	BRCA1 associated RING domain 1	5080561	-0.652316818	2.04E-07	2.07E-05
NAA50	"N(alpha)-acetyltransferase 50, NatE catalytic subunit"	6620368	-0.799918456	2.05E-07	2.08E-05
KIFC1	kinesin family member C1	7330674	-0.789543561	2.08E-07	2.10E-05
MCM2	minichromosome maintenance complex component 2	6770408	-0.696885073	2.16E-07	2.17E-05
PRRC1	proline-rich coiled-coil 1	7040397	-0.572180276	2.19E-07	2.18E-05
LEPREL4	leprecan-like 4	6760673	-0.591692419	2.19E-07	2.18E-05
THOC4	THO complex 4	1660309	-0.596533716	2.31E-07	2.28E-05
NA	NA	2030132	-0.609822877	2.34E-07	2.30E-05
ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)	3060471	-0.607389622	2.35E-07	2.30E-05
COL4A5	"collagen, type IV, alpha 5"	270706	0.579171168	2.37E-07	2.31E-05
SH3KBP1	SH3-domain kinase binding protein 1	6020152	-0.657685198	2.42E-07	2.35E-05
PDLIM1	PDZ and LIM domain 1	1410010	-0.713852832	2.45E-07	2.37E-05
ADAM19	ADAM metallopeptidase domain 19	6900209	0.674370288	2.49E-07	2.39E-05
NA	NA	3710471	-0.751591951	2.50E-07	2.39E-05
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	870546	-0.692321483	2.52E-07	2.40E-05
RASSF2	Ras association (RalGDS/AF-6) domain family member 2	1980059	-0.640790462	2.62E-07	2.49E-05
RNU4-1	"RNA, U4 small nuclear 1"	3990463	0.768692383	2.65E-07	2.51E-05
PRKAA1	"protein kinase, AMP-activated, alpha 1 catalytic subunit"	4150079	-0.622967851	2.70E-07	2.55E-05
RAB3IL1	RAB3A interacting protein (rabin3)-like 1	3460161	-0.610737081	2.75E-07	2.58E-05
PAQR4	progestin and adipoQ receptor family member IV	3460132	-0.560410769	2.82E-07	2.64E-05
PSMC3IP	PSMC3 interacting protein	5960504	-0.605438161	2.85E-07	2.65E-05
ADORA2B	adenosine A2b receptor	2060040	-0.564375257	2.89E-07	2.68E-05
DLGAP5	"discs, large (Drosophila) homolog-associated protein 5"	240221	-0.622065112	2.93E-07	2.70E-05
POLA1	"polymerase (DNA directed), alpha 1, catalytic subunit"	5810253	-0.651194333	2.97E-07	2.73E-05
ATAD2	"ATPase family, AAA domain containing 2"	1410242	-0.573092989	3.28E-07	3.01E-05
CCNB1	cyclin B1	4590040	-0.627978709	3.44E-07	3.13E-05
DTL	denticleless homolog (Drosophila)	5570296	-0.555332693	3.45E-07	3.13E-05
ARFIP1	ADP-ribosylation factor interacting protein 1	10753	-0.885550817	3.47E-07	3.14E-05
ANXA11	annexin A11	5900735	-0.554357628	3.51E-07	3.16E-05
TYMS	thymidylate synthetase	5910364	-0.688364269	3.59E-07	3.21E-05
CCNB2	cyclin B2	5360070	-0.608497078	3.59E-07	3.21E-05
CKS2	CDC28 protein kinase regulatory subunit 2	6200468	-0.591306785	3.61E-07	3.21E-05
MRPL4	mitochondrial ribosomal protein L4	1170121	-0.616672517	3.77E-07	3.34E-05
AURKA	aurora kinase A	5420309	-0.571256593	3.82E-07	3.37E-05
UBE2C	ubiquitin-conjugating enzyme E2C	5310471	-0.721438815	4.05E-07	3.56E-05
SRPK1	SRSF protein kinase 1	7050056	-0.697394343	4.17E-07	3.65E-05
ASPM	"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)"	6130441	-0.659071964	4.29E-07	3.75E-05
MLEC	malectin	1780601	-0.666016081	4.45E-07	3.85E-05
CCDC28B	coiled-coil domain containing 28B	6200561	0.582158925	4.47E-07	3.85E-05
FAM178A	"family with sequence similarity 178, member A"	6510368	-0.604020131	4.48E-07	3.85E-05
NA	NA	290326	-0.839440512	4.49E-07	3.85E-05
ISM1	isthmin 1 homolog (zebrafish)	5550092	-0.588079484	4.53E-07	3.87E-05
BUB1	budding uninhibited by benzimidazoles 1 homolog (yeast)	2070224	-0.612618024	4.59E-07	3.91E-05
HSPB11	"heat shock protein family B (small), member 11"	6450273	-0.552743729	4.69E-07	3.97E-05
SLC7A1	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1"	20241	-0.529482809	4.70E-07	3.97E-05
FZD4	frizzled family receptor 4	620255	-0.548065311	4.87E-07	4.10E-05
FAM198B	"family with sequence similarity 198, member B"	3460014	0.537580337	4.88E-07	4.10E-05
TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)	1740494	-0.527891439	4.94E-07	4.13E-05
ADPGK	ADP-dependent glucokinase	5550619	-0.645321857	4.98E-07	4.14E-05
RAD21	RAD21 homolog (S. pombe)	2260551	-0.620706856	5.03E-07	4.17E-05
E2F2	E2F transcription factor 2	5340338	-0.594101328	5.20E-07	4.30E-05
C6orf211	chromosome 6 open reading frame 211	2750129	-0.549833533	5.50E-07	4.52E-05
NUDT3	nudix (nucleoside diphosphate linked moiety X)-type motif 3	3850167	-0.551649145	5.51E-07	4.52E-05
TXNIP	thioredoxin interacting protein	1240440	-0.626712314	5.55E-07	4.54E-05
CENPA	centromere protein A	2600392	-0.627586719	5.66E-07	4.59E-05
FBXW4	F-box and WD repeat domain containing 4	4390239	-0.72474899	5.66E-07	4.59E-05
SLC35E1	"solute carrier family 35, member E1"	990603	-0.542620492	5.71E-07	4.62E-05
CH25H	cholesterol 25-hydroxylase	1770593	0.62050696	5.86E-07	4.72E-05
XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)	2900039	-0.534069014	5.95E-07	4.77E-05
EXO1	exonuclease 1	1770646	-0.632768229	5.97E-07	4.77E-05
PDZD8	PDZ domain containing 8	2340008	-0.585650081	6.00E-07	4.78E-05
RBBP8	retinoblastoma binding protein 8	6580672	-0.525812786	6.02E-07	4.78E-05
DENND2A	DENN/MADD domain containing 2A	6100072	0.638308138	6.05E-07	4.79E-05
RNU1-3	"RNA, U1 small nuclear 3"	5670152	0.576664712	6.08E-07	4.79E-05
CDK1	cyclin-dependent kinase 1	1050706	-0.645021028	6.25E-07	4.91E-05
SERPINB7	"serpin peptidase inhibitor, clade B (ovalbumin), member 7"	7200243	0.531741613	6.30E-07	4.92E-05
SYTL2	synaptotagmin-like 2	6760037	0.701086523	6.30E-07	4.92E-05
BHMT2	betaine--homocysteine S-methyltransferase 2	20440	-0.630954135	6.39E-07	4.97E-05
FYCO1	FYVE and coiled-coil domain containing 1	6900278	-0.634154084	6.54E-07	5.06E-05
HMMR	hyaluronan-mediated motility receptor (RHAMM)	4050400	-0.587302867	6.63E-07	5.12E-05
C5orf62	chromosome 5 open reading frame 62	130364	0.591844282	6.66E-07	5.12E-05
NA	NA	1940296	0.520826208	6.70E-07	5.13E-05
FANCG	"Fanconi anemia, complementation group G"	4220612	-0.531552151	6.73E-07	5.13E-05
NA	NA	3870452	-0.697437748	6.73E-07	5.13E-05
NA	NA	4120538	-0.522596427	6.78E-07	5.14E-05
ABCF1	"ATP-binding cassette, sub-family F (GCN20), member 1"	7380113	-0.557175058	7.03E-07	5.32E-05
CASP1	"caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)"	7050382	0.553111321	7.20E-07	5.43E-05
OSBPL5	oxysterol binding protein-like 5	2450246	-0.570471382	7.42E-07	5.58E-05
SOBP	sine oculis binding protein homolog (Drosophila)	3830768	0.605713382	7.50E-07	5.61E-05
